Algoritmo,N,Tipo,Tempo(ms),Comparacoes,Trocas
BubbleSortParada, 500000, aleatorio, 513220.0000, 124999153222, 62492182554
SelecaoDireta, 500000, aleatorio, 177494.0000, 124999750000, 499981
InsercaoDireta, 500000, aleatorio, 120920.0000, 62492682543, 62492682553
InsercaoBinaria, 500000, aleatorio, 97802.0000, 8773125, 62492682553
InsercaoTernaria, 500000, aleatorio, 98882.0000, 9342133, 62492682567
ShellSort, 500000, aleatorio, 120.0000, 27951838, 28203935
HeapSort, 500000, aleatorio, 102.0000, 17397217, 9024481
MergeSort, 500000, aleatorio, 76.0000, 8837626, 18951424
QuickSortFim, 500000, aleatorio, 51.0000, 11825160, 5783615
QuickSortCentro, 500000, aleatorio, 54.0000, 11702785, 6771335
QuickSortMediana, 500000, aleatorio, 51.0000, 10390352, 5509232
RadixSort, 500000, aleatorio, 147.0000, 499999, 10000000
BucketSort, 500000, aleatorio, 48.0000, 1228037, 1310205
BubbleSort, 500000, crescente, 197916.0000, 124999750000, 0
BubbleSortParada, 500000, crescente, 1.0000, 499999, 0
SelecaoDireta, 500000, crescente, 179815.0000, 124999750000, 0
InsercaoDireta, 500000, crescente, 1.0000, 499999, 499999
InsercaoBinaria, 500000, crescente, 19.0000, 8975713, 499999
InsercaoTernaria, 500000, crescente, 32.0000, 11202852, 499999
ShellSort, 500000, crescente, 28.0000, 8500007, 8500007
HeapSort, 500000, crescente, 78.0000, 17837785, 9355700
MergeSort, 500000, crescente, 44.0000, 4783216, 18951424
QuickSortFim, 500000, crescente, 397624.0000, 124999750000, 125000249999
QuickSortCentro, 500000, crescente, 24.0000, 8475732, 4716789
QuickSortMediana, 500000, crescente, 26.0000, 9000018, 4741076
RadixSort, 500000, crescente, 88.0000, 499999, 6000000
BucketSort, 500000, crescente, 38.0000, 1003886, 1003888
BubbleSort, 500000, decrescente, 397089.0000, 124999750000, 124999750000
BubbleSortParada, 500000, decrescente, 429657.0000, 124999750000, 124999750000
SelecaoDireta, 500000, decrescente, 193266.0000, 124999750000, 250000
InsercaoDireta, 500000, decrescente, 249957.0000, 124999750000, 125000249999
InsercaoBinaria, 500000, decrescente, 198974.0000, 8475732, 125000249999
InsercaoTernaria, 500000, decrescente, 198762.0000, 5601426, 125000249999
ShellSort, 500000, decrescente, 40.0000, 12428778, 12928759
HeapSort, 500000, decrescente, 74.0000, 16977997, 8668450
MergeSort, 500000, decrescente, 38.0000, 4692496, 18951424
QuickSortFim, 500000, decrescente, 284000.0000, 124999750000, 62500249999
QuickSortCentro, 500000, decrescente, 28.0000, 8699870, 5024237
QuickSortMediana, 500000, decrescente, 51.0000, 18846028, 11419772
RadixSort, 500000, decrescente, 85.0000, 499999, 6000000
BucketSort, 500000, decrescente, 39.0000, 1003886, 1007776
